"2019-06-05 22:35:55","9.6","svmem(total=17138647040, available=9691148288, percent=43.5, used=7447498752, free=9691148288)","1 Synjas"
"2019-06-05 22:36:10","10.3","svmem(total=17138647040, available=9687707648, percent=43.5, used=7450939392, free=9687707648)","1 Synjas"
"2019-06-05 22:36:26","8.2","svmem(total=17138647040, available=9693270016, percent=43.4, used=7445377024, free=9693270016)","1 Synjas"
"2019-06-05 22:36:42","8.9","svmem(total=17138647040, available=9697992704, percent=43.4, used=7440654336, free=9697992704)","1 Synjas"
"2019-06-05 22:36:57","14.0","svmem(total=17138647040, available=9696329728, percent=43.4, used=7442317312, free=9696329728)","1 Synjas"
"2019-06-05 22:37:13","8.3","svmem(total=17138647040, available=9687859200, percent=43.5, used=7450787840, free=9687859200)","1 Synjas"
"2019-06-05 22:37:26","25.1","svmem(total=17138647040, available=9625636864, percent=43.8, used=7513010176, free=9625636864)","1 Synjas"
"2019-06-05 22:37:42","15.8","svmem(total=17138647040, available=9678602240, percent=43.5, used=7460044800, free=9678602240)","1 Synjas"
"2019-06-05 22:37:58","17.5","svmem(total=17138647040, available=9634340864, percent=43.8, used=7504306176, free=9634340864)","0 Synjas"
"2019-06-05 22:38:14","14.1","svmem(total=17138647040, available=9642582016, percent=43.7, used=7496065024, free=9642582016)","1 Synjas"
"2019-06-05 22:38:29","7.1","svmem(total=17138647040, available=9641095168, percent=43.7, used=7497551872, free=9641095168)","1 Synjas"
"2019-06-05 22:38:45","6.1","svmem(total=17138647040, available=9655877632, percent=43.7, used=7482769408, free=9655877632)","1 Synjas"
"2019-06-05 22:39:01","6.3","svmem(total=17138647040, available=9638002688, percent=43.8, used=7500644352, free=9638002688)","1 Synjas"
"2019-06-05 22:39:16","7.1","svmem(total=17138647040, available=9650450432, percent=43.7, used=7488196608, free=9650450432)","1 Synjas"
"2019-06-05 22:39:32","8.4","svmem(total=17138647040, available=9641439232, percent=43.7, used=7497207808, free=9641439232)","1 Synjas"
"2019-06-05 22:39:48","7.3","svmem(total=17138647040, available=9645412352, percent=43.7, used=7493234688, free=9645412352)","1 Synjas"
"2019-06-05 22:40:04","11.7","svmem(total=17138647040, available=9636741120, percent=43.8, used=7501905920, free=9636741120)","1 Synjas"
"2019-06-05 22:40:53","28.9","svmem(total=17138647040, available=9614626816, percent=43.9, used=7524020224, free=9614626816)","1 Synjas"
"2019-06-05 22:41:49","38.6","svmem(total=17138647040, available=9518215168, percent=44.5, used=7620431872, free=9518215168)","1 Synjas"
"2019-06-05 22:42:04","24.6","svmem(total=17138647040, available=9492545536, percent=44.6, used=7646101504, free=9492545536)","1 Synjas"
"2019-06-05 22:42:20","20.4","svmem(total=17138647040, available=9474981888, percent=44.7, used=7663665152, free=9474981888)","1 Synjas"
"2019-06-05 22:42:36","19.0","svmem(total=17138647040, available=9445851136, percent=44.9, used=7692795904, free=9445851136)","1 Synjas"
