CMDLINE c:\anaconda\python.exe app.py
MEM 1625.542969 1557763949.7614
MEM 1625.542969 1557763949.8615
MEM 1625.546875 1557763949.9617
MEM 1625.546875 1557763950.0620
MEM 1625.546875 1557763950.1624
MEM 1625.546875 1557763950.2633
MEM 1625.550781 1557763950.3634
MEM 1625.550781 1557763950.4641
MEM 1625.550781 1557763950.5645
MEM 1625.550781 1557763950.6653
MEM 1625.550781 1557763950.7659
MEM 1625.550781 1557763950.8666
MEM 1625.554688 1557763950.9673
MEM 1625.554688 1557763951.0674
MEM 1625.554688 1557763951.1674
MEM 1625.554688 1557763951.2677
MEM 1625.554688 1557763951.3677
MEM 1625.554688 1557763951.4684
MEM 1625.554688 1557763951.5689
MEM 1625.554688 1557763951.6696
MEM 1625.554688 1557763951.7697
MEM 1625.554688 1557763951.8700
MEM 1625.554688 1557763951.9707
MEM 1625.554688 1557763952.0717
MEM 1625.554688 1557763952.1727
MEM 1625.554688 1557763952.2728
MEM 1625.554688 1557763952.3731
MEM 1625.558594 1557763952.4732
MEM 1625.558594 1557763952.5742
MEM 1625.558594 1557763952.6744
MEM 1625.558594 1557763952.7752
MEM 1625.558594 1557763952.8762
MEM 1625.558594 1557763952.9770
MEM 1625.562500 1557763953.0771
MEM 1625.562500 1557763953.1778
MEM 1625.562500 1557763953.2780
MEM 1625.562500 1557763953.3785
MEM 1625.566406 1557763953.4786
MEM 1625.566406 1557763953.5790
MEM 1625.566406 1557763953.6797
MEM 1625.566406 1557763953.7799
MEM 1625.566406 1557763953.8807
MEM 1625.566406 1557763953.9814
MEM 1625.570312 1557763954.0822
MEM 1625.570312 1557763954.1822
MEM 1625.570312 1557763954.2832
MEM 1625.578125 1557763954.3837
MEM 1625.578125 1557763954.4842
MEM 1625.578125 1557763954.5844
MEM 1625.578125 1557763954.6852
MEM 1625.578125 1557763954.7861
MEM 1625.578125 1557763954.8863
MEM 1625.578125 1557763954.9870
MEM 1625.582031 1557763955.0876
MEM 1625.582031 1557763955.1877
MEM 1625.582031 1557763955.2885
MEM 1625.582031 1557763955.3891
MEM 1625.582031 1557763955.4896
MEM 1625.582031 1557763955.5906
MEM 1625.582031 1557763955.6907
MEM 1625.582031 1557763955.7915
MEM 1625.582031 1557763955.8923
MEM 1625.582031 1557763955.9924
MEM 1625.585938 1557763956.0926
MEM 1625.585938 1557763956.1933
MEM 1625.589844 1557763956.2941
MEM 1625.589844 1557763956.3950
MEM 1625.589844 1557763956.4955
MEM 1625.589844 1557763956.5957
MEM 1625.589844 1557763956.6959
MEM 1625.589844 1557763956.7968
MEM 1625.589844 1557763956.8970
MEM 1625.589844 1557763956.9970
MEM 1625.589844 1557763957.0979
MEM 1625.589844 1557763957.1984
MEM 1625.589844 1557763957.2988
MEM 1625.589844 1557763957.3994
MEM 1625.589844 1557763957.5003
MEM 1625.589844 1557763957.6014
MEM 1625.589844 1557763957.7023
MEM 1625.589844 1557763957.8034
MEM 1625.589844 1557763957.9034
MEM 1625.589844 1557763958.0041
MEM 1625.589844 1557763958.1108
MEM 1625.652344 1557763958.2554
MEM 1625.652344 1557763958.3641
MEM 1625.652344 1557763958.4651
MEM 1625.652344 1557763958.5670
MEM 1625.652344 1557763958.6680
MEM 1625.652344 1557763958.7695
MEM 1625.652344 1557763958.8695
MEM 1625.652344 1557763958.9695
MEM 1625.652344 1557763959.0695
MEM 1625.652344 1557763959.1703
MEM 1625.652344 1557763959.2944
MEM 1625.652344 1557763959.3952
MEM 1625.652344 1557763959.4999
MEM 1625.652344 1557763959.6006
MEM 1625.652344 1557763959.7006
MEM 1625.652344 1557763959.8007
MEM 1625.652344 1557763959.9017
MEM 1625.652344 1557763960.0018
MEM 1625.652344 1557763960.1020
MEM 1625.652344 1557763960.2024
MEM 1625.652344 1557763960.3024
MEM 1625.652344 1557763960.4031
MEM 1625.652344 1557763960.5032
MEM 1625.652344 1557763960.6032
MEM 1625.652344 1557763960.7041
MEM 1625.652344 1557763960.8049
MEM 1625.652344 1557763960.9054
MEM 1625.652344 1557763961.0055
MEM 1625.652344 1557763961.1061
MEM 1625.652344 1557763961.2061
MEM 1625.652344 1557763961.3066
MEM 1625.664062 1557763961.4075
MEM 1625.667969 1557763961.5076
MEM 1625.671875 1557763961.6076
MEM 1625.675781 1557763961.7083
MEM 1625.675781 1557763961.8090
MEM 1625.675781 1557763961.9097
MEM 1625.675781 1557763962.0105
MEM 1625.675781 1557763962.1116
MEM 1625.675781 1557763962.2124
MEM 1625.675781 1557763962.3125
MEM 1625.675781 1557763962.4141
MEM 1625.675781 1557763962.5148
MEM 1625.675781 1557763962.6155
MEM 1625.675781 1557763962.7163
MEM 1625.675781 1557763962.8170
MEM 1625.675781 1557763962.9177
MEM 1625.675781 1557763963.0179
MEM 1625.675781 1557763963.1187
MEM 1625.675781 1557763963.2191
MEM 1625.675781 1557763963.3193
MEM 1625.675781 1557763963.4195
MEM 1625.675781 1557763963.5204
MEM 1625.675781 1557763963.6246
MEM 1625.675781 1557763963.7253
MEM 1625.675781 1557763963.8260
MEM 1625.675781 1557763963.9277
MEM 1625.675781 1557763964.0286
MEM 1625.675781 1557763964.1288
MEM 1625.664062 1557763964.2294
MEM 1625.664062 1557763964.3300
MEM 1625.664062 1557763964.4300
MEM 1625.664062 1557763964.5303
MEM 1625.664062 1557763964.6311
MEM 1625.664062 1557763964.7316
MEM 1625.664062 1557763964.8317
MEM 1625.664062 1557763964.9322
MEM 1625.664062 1557763965.0329
MEM 1625.664062 1557763965.1329
MEM 1625.664062 1557763965.2337
MEM 1625.664062 1557763965.3439
MEM 1625.664062 1557763965.4441
MEM 1625.664062 1557763965.5442
MEM 1625.664062 1557763965.6448
MEM 1625.664062 1557763965.7456
MEM 1625.664062 1557763965.8463
MEM 1625.664062 1557763965.9465
MEM 1625.664062 1557763966.0472
MEM 1625.664062 1557763966.1479
MEM 1625.664062 1557763966.2488
MEM 1625.664062 1557763966.3497
MEM 1625.664062 1557763966.4499
MEM 1625.664062 1557763966.5503
MEM 1625.664062 1557763966.6512
MEM 1625.664062 1557763966.7520
MEM 1625.664062 1557763966.8525
MEM 1625.664062 1557763966.9532
MEM 1625.664062 1557763967.0540
MEM 1625.664062 1557763967.1727
MEM 1625.664062 1557763967.2734
MEM 1625.664062 1557763967.3741
MEM 1625.664062 1557763967.4749
MEM 1625.664062 1557763967.6284
MEM 1625.664062 1557763967.7292
MEM 1625.664062 1557763967.8296
MEM 1625.664062 1557763967.9303
MEM 1625.664062 1557763968.0310
MEM 1625.664062 1557763968.1338
MEM 1625.664062 1557763968.2345
MEM 1625.664062 1557763968.3352
MEM 1625.664062 1557763968.4352
MEM 1625.664062 1557763968.5361
MEM 1625.664062 1557763968.6361
MEM 1625.664062 1557763968.7368
MEM 1625.664062 1557763968.8370
MEM 1625.664062 1557763968.9375
MEM 1625.664062 1557763969.0376
MEM 1625.664062 1557763969.1385
MEM 1625.664062 1557763969.2387
MEM 1625.664062 1557763969.3395
MEM 1625.664062 1557763969.4404
MEM 1625.664062 1557763969.5407
MEM 1625.664062 1557763969.6414
MEM 1625.664062 1557763969.7418
MEM 1625.664062 1557763969.8418
MEM 1625.664062 1557763969.9428
MEM 1625.664062 1557763970.0436
MEM 1625.664062 1557763970.1438
MEM 1625.664062 1557763970.2440
MEM 1625.664062 1557763970.3448
MEM 1625.664062 1557763970.4451
MEM 1625.664062 1557763970.5457
MEM 1625.664062 1557763970.6458
MEM 1625.664062 1557763970.7459
MEM 1625.664062 1557763970.8461
MEM 1625.664062 1557763970.9471
MEM 1625.664062 1557763971.0472
MEM 1625.664062 1557763971.1478
MEM 1625.664062 1557763971.2480
MEM 1625.664062 1557763971.3483
MEM 1625.664062 1557763971.4484
MEM 1625.664062 1557763971.5491
MEM 1625.664062 1557763971.6496
MEM 1625.664062 1557763971.7500
MEM 1625.664062 1557763971.8508
MEM 1625.664062 1557763971.9512
MEM 1625.664062 1557763972.0521
MEM 1625.664062 1557763972.1531
MEM 1625.664062 1557763972.2540
MEM 1625.664062 1557763972.3546
MEM 1625.664062 1557763972.4552
MEM 1625.664062 1557763972.5553
MEM 1625.664062 1557763972.6560
MEM 1625.664062 1557763972.7568
MEM 1625.664062 1557763972.8570
MEM 1625.664062 1557763972.9571
MEM 1625.664062 1557763973.0576
MEM 1625.664062 1557763973.1584
MEM 1625.664062 1557763973.2585
MEM 1625.664062 1557763973.3591
MEM 1625.664062 1557763973.4594
